,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
518,Inner Demons,Inner Demons,Julia Brennan,2OjmXOwfH7XG3oBzuv54Dw,2016-11-11,48,220453,0.551,0.18899999999999997,0.405,0.0,0.20199999999999999,0.10400000000000001,-8.822000000000001,0.0284,86.94,9,4,depress
568,Save Myself,÷ (Deluxe),Ed Sheeran,6TIU9Ehmi6dMzZK73Ym4yj,2017-03-03,64,247106,0.552,0.85,0.29,0.0,0.22699999999999998,0.48100000000000004,-5.617000000000001,0.0448,78.842,10,4,depress
671,Tuesday Rain,Tuesday Rain,Tjeerd Oosterhuis,1UQ81ra1A4myZmEoihQnPJ,2022-07-22,62,108849,0.47200000000000003,0.982,0.0376,0.958,0.109,0.152,-25.04,0.0401,79.961,10,4,calm
151,So Good,So Good,Louisa Johnson,20js7QbHkIuzrgecUTPfl7,2016-10-28,46,190853,0.5489999999999999,0.0938,0.684,0.0,0.235,0.408,-4.875,0.0349,147.012,0,4,angry
392,Dancing In The Moonlight (feat. NEIMY) - Tiësto Remix,Dancing In The Moonlight (feat. NEIMY) [Tiësto Remix],Jubël,3dgVBgrgHLzbhAYepa1V1V,2020-09-13,60,147146,0.679,0.213,0.619,0.0,0.105,0.49700000000000005,-4.9830000000000005,0.0528,124.944,9,4,happy
221,Classic,MKTO,MKTO,6FE2iI43OZnszFLuLtvvmg,2012,82,175426,0.72,0.0384,0.7909999999999999,0.0,0.157,0.7559999999999999,-4.689,0.124,102.071,1,4,happy
421,Learn to Love,Learn to Love,Sabrina Francis,2gkmKJKjzJXztLQDN3rtcx,2022-08-19,44,178598,0.6679999999999999,0.289,0.785,0.0,0.102,0.34,-5.67,0.0654,107.085,4,4,happy
702,Le Printemps du Coeur- Réveille (on Upright Piano),Le Printemps du Coeur,Coen Molenaar,3LDb6JTLzuEnBsnek0MoLK,2022-05-13,26,147238,0.40299999999999997,0.9940000000000001,0.00554,0.937,0.13,0.0712,-26.724,0.0328,68.637,8,4,calm
330,Dancing Queen,Arrival,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,84,230400,0.5429999999999999,0.358,0.87,0.0009390000000000001,0.792,0.754,-6.513999999999999,0.0428,100.804,9,4,happy
757,Sapmi,Sapmi,Albert Jan Lourens,3zjldX52uYP3LciVfDqZha,2021-11-05,22,205714,0.21899999999999997,0.978,0.0787,0.889,0.102,0.34600000000000003,-28.348000000000003,0.0334,89.499,6,3,calm
487,I'm Not A Cynic,These Two Windows,Alec Benjamin,4iyGOU2Wtc7oNG4pm3taVd,2020-05-29,56,136909,0.6809999999999999,0.11699999999999999,0.71,2.1600000000000003e-05,0.359,0.795,-5.638999999999999,0.0527,129.907,1,4,depress
384,A-Punk,Vampire Weekend,Vampire Weekend,2DrGEaqoruCSn0FffWCf5O,2008-01-27,70,137760,0.551,0.0103,0.8190000000000001,0.0437,0.153,0.846,-4.489,0.0525,174.917,2,4,happy
596,Hurting,Golden Hour,Kygo,4Ufg9X9VocHbzKxXGhCOie,2020-05-29,53,186325,0.655,0.265,0.431,1.22e-06,0.0922,0.292,-9.631,0.0493,99.954,4,4,depress
698,Meraki,Meraki,John Ether,1wus1A1lBdeU8f7PfkwahJ,2022-05-06,39,215136,0.318,0.982,0.0687,0.927,0.0759,0.125,-22.523000000000003,0.0422,136.38299999999998,6,4,calm
604,Concrete Angel,Greatest Hits,Martina McBride,2LLcI3oU4CedCQDV5tJ1SK,2001-09-17,53,253000,0.622,0.498,0.392,0.0,0.146,0.27399999999999997,-9.737,0.0253,77.991,1,4,depress
241,The Weekend,The Weekend,Joan & the Giants,7806r1yzAT35PFXMLuALxe,2022-09-02,29,171293,0.483,0.183,0.7759999999999999,0.0,0.313,0.29,-3.783,0.128,162.814,7,4,happy
248,Sunshine,Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,2021-11-10,83,163854,0.6970000000000001,0.13699999999999998,0.875,0.0,0.28,0.774,-4.621,0.034,140.069,5,4,happy
21,Alarm,Alarm,Anne-Marie,0OwX5aROoW1Iip8FV51Efg,2016-05-20,60,205593,0.7559999999999999,0.0812,0.589,0.0,0.17600000000000002,0.8109999999999999,-5.093,0.23199999999999998,146.928,0,4,angry
751,Awakening,Awakening,Peter Nordahl,71WlihF091UOWAP8S4vDue,2021-11-05,23,236000,0.452,0.995,0.102,0.965,0.196,0.0632,-23.87,0.035,143.917,0,4,calm
550,Keep Holding On,The Best Damn Thing (Expanded Edition),Avril Lavigne,4UPcXTh26ilb7owtuyHqNI,2007-04-17,65,239906,0.162,0.0374,0.7859999999999999,0.0,0.14300000000000002,0.138,-2.353,0.038,161.192,7,3,depress
