name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Fuck You,"It's Not Me, It's You (Special Edition)",Lily Allen,4XE98WRGbBGRZ7jQ9wIwFt,2008-12-02,62,219893,0.775,0.0271,0.904,0.000303,0.06,0.84,-4.08,0.0437,130.009,1,4,angry
So What,Funhouse (Expanded Edition),P!nk,0JiY190vktuhSGN6aqJdrt,2008-10-24,77,215160,0.534,0.000334,0.87,0,0.241,0.462,-3.078,0.0425,126.019,11,4,angry
Fighter,Stripped,Christina Aguilera,7nXq1vaZiz7PdbfojpPjW5,2002-07-19,68,245960,0.435,0.235,0.92,0.000353,0.552,0.45,-1.357,0.201,188.899,4,4,angry
Girlfriend,The Best Damn Thing (Expanded Edition),Avril Lavigne,45hOioMDJktr86iKDHC8gr,2007-04-17,76,216600,0.56,0.000722,0.959,0.000221,0.209,0.669,-2.433,0.102,163.983,7,4,angry
Bad Reputation,Bad Reputation (Expanded Edition),Joan Jett & the Blackhearts,7pu8AhGUxHZSCWTkQ2eb5M,1981-01-23,69,169186,0.378,0.00192,0.974,0.0139,0.0588,0.824,-4.055,0.194,203.715,6,4,angry
Womanizer,Circus (Deluxe Version),Britney Spears,4fixebDZAVToLbUCuEloa2,2008-12-02,76,224400,0.724,0.073,0.695,0,0.0889,0.235,-5.226,0.0622,139.0,11,4,angry
What the Hell,Goodbye Lullaby (Expanded Edition),Avril Lavigne,2z4U9d5OAA4YLNXoCgioxo,2011-03-08,75,220706,0.578,0.00472,0.926,0.0127,0.14,0.877,-3.689,0.0548,149.976,6,4,angry
Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,7gvd8xj4QgPqbQSsn5pV7d,2017-09-29,4,203760,0.705,0.0237,0.64,0,0.262,0.887,-6.928,0.225,144.077,11,4,angry
Toxic,In The Zone,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,2003-11-13,82,198800,0.774,0.0249,0.838,0.025,0.242,0.924,-3.914,0.114,143.04,5,4,angry
Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,3HWzoMvoF3TQfYg4UPszDq,2019-04-19,77,173325,0.715,0.11,0.624,0,0.123,0.412,-3.046,0.114,158.087,4,4,angry
Salute,Salute (Expanded Edition),Little Mix,1iupzLgX4O0Qosb4yDpYoz,2013-11-11,65,236013,0.641,0.0981,0.732,0,0.285,0.354,-5.325,0.0509,82.027,2,4,angry
Look What You Made Me Do,reputation,Taylor Swift,1P17dC1amhFzptugyAO7Il,2017-11-10,80,211853,0.766,0.204,0.709,1.41e-05,0.126,0.506,-6.471,0.123,128.07,9,4,angry
Hot N Cold,One Of The Boys,Katy Perry,1TEjSXPdAakDotj2Wji3PU,2008-06-17,72,220226,0.706,7.95e-05,0.841,0,0.0688,0.861,-3.956,0.0418,132.032,7,4,angry
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,4GzDUKkd1RwAtYZMMUBM3W,2012-01-01,0,222733,0.599,0.00532,0.474,2.84e-06,0.0216,0.649,-6.794,0.0379,154.182,6,4,angry
